alpha,error
1,530.5543238
1.123904881,530.5733956
1.247809762,530.5944104
1.371714643,530.6176206
1.495619524,530.6404629
1.619524406,530.6646575
1.743429287,530.6907766
1.867334168,530.7188179
1.991239049,530.7487823
2.11514393,530.7797321
2.239048811,530.8122534
2.362953692,530.8466237
2.486858573,530.8828424
2.610763454,530.9209128
2.734668335,530.9608273
2.858573217,531.0005797
2.982478098,531.0417642
3.106382979,531.0846921
3.23028786,531.1293609
3.354192741,531.1757651
3.478097622,531.2238861
3.602002503,531.2736533
3.725907384,531.3252698
3.849812265,531.378626
3.973717146,531.433718
4.097622028,531.49055
4.221526909,531.5491277
4.34543179,531.6094435
4.469336671,531.671497
4.593241552,531.7352881
4.717146433,531.8007772
4.841051314,531.8637381
4.964956195,531.9283249
5.088861076,531.9922118
5.212765957,532.0527606
5.336670839,532.1147473
5.46057572,532.1781847
5.584480601,532.2430703
5.708385482,532.3094025
5.832290363,532.3771806
5.956195244,532.4464031
6.080100125,532.5170756
6.204005006,532.5891933
6.327909887,532.6627558
6.451814768,532.7377625
6.57571965,532.8142121
6.699624531,532.892103
6.823529412,532.9714364
6.947434293,533.0522113
7.071339174,533.1344273
7.195244055,533.2180835
7.319148936,533.3031794
7.443053817,533.389714
7.566958698,533.4749002
7.690863579,533.5561405
7.814768461,533.6386876
7.938673342,533.7225408
8.062578223,533.8076994
8.186483104,533.8941631
8.310387985,533.9819311
8.434292866,534.0710027
8.558197747,534.1613774
8.682102628,534.2530533
8.806007509,534.3460308
8.92991239,534.4403092
9.053817272,534.535888
9.177722153,534.6327663
9.301627034,534.7309435
9.425531915,534.8304189
9.549436796,534.9311918
9.673341677,535.0332614
9.797246558,535.1366269
9.921151439,535.2412877
10.04505632,535.3472429
10.1689612,535.4544919
10.29286608,535.5630337
10.41677096,535.6728677
10.54067584,535.783993
10.66458073,535.896409
10.78848561,536.0101147
10.91239049,536.1251094
11.03629537,536.241392
11.16020025,536.3589619
11.28410513,536.4778182
11.40801001,536.59796
11.53191489,536.7193866
11.65581977,536.8420969
11.77972466,536.9660902
11.90362954,537.0913655
12.02753442,537.217922
12.1514393,537.3457587
12.27534418,537.4748747
12.39924906,537.6052815
12.52315394,537.7369574
12.64705882,537.8153351
12.7709637,537.8918924
12.89486859,537.9691875
13.01877347,538.0472175
13.14267835,538.1259821
13.26658323,538.205481
13.39048811,538.285714
13.51439299,538.3666808
13.63829787,538.4483809
13.76220275,538.5308142
13.88610763,538.6139802
14.01001252,538.6978786
14.1339174,538.782509
14.25782228,538.8678712
14.38172716,538.9539647
14.50563204,539.0407892
14.62953692,539.1283444
14.7534418,539.2166299
14.87734668,539.3056454
15.00125156,539.3953904
15.12515645,539.4858646
15.24906133,539.5770677
15.37296621,539.6689993
15.49687109,539.761659
15.62077597,539.8550464
15.74468085,539.9491612
15.86858573,540.044003
15.99249061,540.1395714
16.11639549,540.2358659
16.24030038,540.3328863
16.36420526,540.4306321
16.48811014,540.529103
16.61201502,540.6282985
16.7359199,540.7282182
16.85982478,540.8288618
16.98372966,540.9302288
17.10763454,541.0323189
17.23153942,541.1351315
17.35544431,541.2386664
17.47934919,541.3429231
17.60325407,541.4479011
17.72715895,541.5536001
17.85106383,541.6600196
17.97496871,541.7671592
18.09887359,541.8750185
18.22277847,541.9835971
18.34668335,542.0928945
18.47058824,542.2029103
18.59449312,542.313644
18.718398,542.4250953
18.84230288,542.5372636
18.96620776,542.6501485
19.09011264,542.7637496
19.21401752,542.8780665
19.3379224,542.9930986
19.46182728,543.1088455
19.58573217,543.2253068
19.70963705,543.342482
19.83354193,543.4603706
19.95744681,543.5789723
20.08135169,543.6982864
20.20525657,543.8183126
20.32916145,543.9390503
20.45306633,544.0604992
20.57697121,544.1826586
20.7008761,544.3055282
20.82478098,544.4291075
20.94868586,544.5533959
21.07259074,544.6783931
21.19649562,544.8040984
21.3204005,544.9305115
21.44430538,545.0576318
21.56821026,545.1854588
21.69211514,545.313992
21.81602003,545.443231
21.93992491,545.5731752
22.06382979,545.7038242
22.18773467,545.8351773
22.31163955,545.9672342
22.43554443,546.0999943
22.55944931,546.233457
22.68335419,546.367622
22.80725907,546.5024886
22.93116395,546.6380563
23.05506884,546.7743247
23.17897372,546.9112931
23.3028786,547.0489612
23.42678348,547.1873282
23.55068836,547.3263938
23.67459324,547.4661574
23.79849812,547.6066183
23.922403,547.7477762
24.04630788,547.8896305
24.17021277,548.0321806
24.29411765,548.175426
24.41802253,548.3193661
24.54192741,548.4640004
24.66583229,548.6093284
24.78973717,548.7553494
24.91364205,548.902063
25.03754693,549.0494685
25.16145181,549.1975655
25.2853567,549.3463534
25.40926158,549.4958315
25.53316646,549.6459994
25.65707134,549.7968565
25.78097622,549.9484022
25.9048811,550.1006359
26.02878598,550.2535571
26.15269086,550.4071652
26.27659574,550.5614596
26.40050063,550.7164398
26.52440551,550.8721051
26.64831039,551.028455
26.77221527,551.185489
26.89612015,551.3432063
27.02002503,551.5016065
27.14392991,551.6606889
27.26783479,551.8204529
27.39173967,551.9808981
27.51564456,552.1420237
27.63954944,552.3038291
27.76345432,552.4663139
27.8873592,552.6294773
28.01126408,552.7933188
28.13516896,552.9578377
28.25907384,553.1230336
28.38297872,553.2889057
28.5068836,553.4554534
28.63078849,553.6226762
28.75469337,553.7905734
28.87859825,553.9591445
29.00250313,554.1283887
29.12640801,554.2983056
29.25031289,554.4688944
29.37421777,554.6401545
29.49812265,554.8120854
29.62202753,554.9846864
29.74593242,555.1579569
29.8698373,555.3318962
29.99374218,555.5065037
30.11764706,555.6817789
30.24155194,555.857721
30.36545682,556.0343294
30.4893617,556.2116035
30.61326658,556.3895427
30.73717146,556.5681463
30.86107635,556.7474137
30.98498123,556.9273442
31.10888611,557.1079372
31.23279099,557.2891921
31.35669587,557.4711082
31.48060075,557.6536848
31.60450563,557.8369214
31.72841051,558.0208172
31.85231539,558.2053716
31.97622028,558.390584
32.10012516,558.5764537
32.22403004,558.7629801
32.34793492,558.9501624
32.4718398,559.138
32.59574468,559.3264924
32.71964956,559.5156387
32.84355444,559.7054384
32.96745932,559.8958908
33.09136421,560.0869951
33.21526909,560.2787509
33.33917397,560.4711573
33.46307885,560.6642137
33.58698373,560.8579195
33.71088861,561.0522739
33.83479349,561.2472763
33.95869837,561.4429261
34.08260325,561.6392224
34.20650814,561.8361648
34.33041302,562.0337524
34.4543179,562.2319846
34.57822278,562.4308608
34.70212766,562.6303802
34.82603254,562.8305421
34.94993742,563.0313459
35.0738423,563.2327909
35.19774718,563.4348764
35.32165207,563.6376017
35.44555695,563.8409661
35.56946183,564.044969
35.69336671,564.2496096
35.81727159,564.4548872
35.94117647,564.6608011
36.06508135,564.8673508
36.18898623,565.0745353
36.31289111,565.2823541
36.43679599,565.490716
36.56070088,565.699801
36.68460576,565.9095181
36.80851064,566.1198667
36.93241552,566.330846
37.0563204,566.5424554
37.18022528,566.7546941
37.30413016,566.9675615
37.42803504,567.1810567
37.55193992,567.3951792
37.67584481,567.6099282
37.79974969,567.825303
37.92365457,568.0413028
38.04755945,568.257927
38.17146433,568.4751749
38.29536921,568.6930457
38.41927409,568.9115388
38.54317897,569.1306533
38.66708385,569.3503886
38.79098874,569.570744
38.91489362,569.7917188
39.0387985,570.0133122
39.16270338,570.2355235
39.28660826,570.458352
39.41051314,570.6817969
39.53441802,570.9058576
39.6583229,571.1305333
39.78222778,571.3558233
39.90613267,571.5817269
40.03003755,571.8082433
40.15394243,572.0353718
40.27784731,572.2631117
40.40175219,572.4914622
40.52565707,572.7204227
40.64956195,572.9499923
40.77346683,573.1801704
40.89737171,573.4109563
41.0212766,573.6423491
41.14518148,573.8743482
41.26908636,574.1069528
41.39299124,574.3401621
41.51689612,574.5739756
41.640801,574.8083923
41.76470588,575.0434117
41.88861076,575.2790328
42.01251564,575.5152551
42.13642053,575.7520777
42.26032541,575.9894999
42.38423029,576.227521
42.50813517,576.4661403
42.63204005,576.7053569
42.75594493,576.9451702
42.87984981,577.1855794
43.00375469,577.4265837
43.12765957,577.6681825
43.25156446,577.9103749
43.37546934,578.1531602
43.49937422,578.3965378
43.6232791,578.6405067
43.74718398,578.8850664
43.87108886,579.1302159
43.99499374,579.3759547
44.11889862,579.6222819
44.2428035,579.8691968
44.36670839,580.1166986
44.49061327,580.3647866
44.61451815,580.61346
44.73842303,580.8627181
44.86232791,581.1125602
44.98623279,581.3629854
45.11013767,581.613993
45.23404255,581.8655823
45.35794743,582.1177526
45.48185232,582.3705029
45.6057572,582.6238327
45.72966208,582.8777412
45.85356696,583.1322275
45.97747184,583.387291
46.10137672,583.6429308
46.2252816,583.8991463
46.34918648,584.1559366
46.47309136,584.4133011
46.59699625,584.6712389
