GeoName,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,Value
Alabama,66496.3,67346,68197,69680.5,71230.4,72724,73811.8,74393,75592.1,76005.3,76269.3,77725.4,78648.9,80248,81524.9,82972,84243.7,85028.5,85945.7,86676.4,87452.5,89128.4,89967.4,90851.7,92586.7,93152.6,94379.3,95806.9,98348.3,99305.1,100299.6,101437.8,102230.1,102446.5,103778.6,105022.4,106186.1,107975.3,108494.4,110205.7,111153.1,112290.6,112138.7,112207,112894.5,114553.9,115498.9,116670.8,118111.5,118928.7,120686.8,122766.8,125201.6,127751.6,129904.4,132457.2,133686.9,136009,137513.8,140234.9,143222.1,145388.5,146430.4,147728.1,150628.4,152634.7,153560.3,155114.1,155982.9,162940.4,158175.6,156703.4,154517.8,156614.5,155925.4,156596.3,158974.3,161723,164445.3,164981.8,167490.6,167761.6,169022.7,169622.4,171805.2,173476.2,171972.3,176192.9,174319.6,175041.3,176099.1,175281.1,176964.1,179958.8,182473.3,184918.8,724315
Alaska *,13205.9,13236.9,13473.1,13704.4,14078.5,14174.5,14379.9,14449.8,14883.9,14913.2,15019.9,15212.2,15347,15423.5,15569.6,15712.4,15856.1,15882.8,15991.1,16093.4,16167.5,16296.4,16500.9,16647.2,16892.9,17254,17378.5,17581.1,17965.2,18018.7,18137.7,18422.5,18446.3,18588.2,18650.8,19164.6,19707.3,20002.1,20300.8,20479.5,20857.2,21371.2,21379.1,21629.5,21923.2,22117.6,22409.3,22851,22808.7,23228,23525.6,23798.8,23932.8,24147.9,24520.2,25016.4,25297.5,25765.4,26334.1,26847.9,27305.5,27744.8,27834.1,28289.1,29302.7,29892,29987.5,30294.2,32061.3,33134.7,33063.1,33371.5,32526.6,33008.1,33083.5,33495.3,34651.2,35225.2,35775.1,36156.5,36982.7,37735,38311.9,38897.4,38971.6,39289.6,39137.2,39665.6,38716.5,38734.6,39155.8,39305.2,40486.2,41091.7,41423,41839,164839.9
Arizona,66008.5,66890.3,67215.7,68583.8,69748.2,71372.6,72129,73518.7,75291.7,76542.1,77297.6,79032.5,81209.3,83343.8,85484.5,87337,89530.4,90757.9,92994.1,94675.2,97116.6,98963.1,100684.7,102066.1,105167,106710.5,108866.7,111348.2,114471.7,116877.7,119279.7,121542.6,122136.3,124622.4,126275.9,128539.3,132630.5,134916.4,137410.6,139742.9,141328.3,142413,142807.3,143145.5,145342.9,146732.1,147908,150425.9,152481.5,154827.9,157214.6,161309.2,165152.5,168778.9,172109.6,177245.5,180953.6,186554.4,191853.5,195686.4,203976.8,207466.9,211001.8,214469.3,217974.3,220773.1,222733.8,223498.1,222864.9,229922.2,224338.4,220907.5,213238.3,212903.1,211034.9,213407.6,212514.4,215895.3,218305.1,220779.8,225298.6,226595.5,228483.4,230422.8,234167.8,237047.1,235982.2,244039,240161.4,243169.5,244888.4,246790,252123.8,255360.9,258837.9,262766.6,1029089.2
Arkansas,35628.2,36066.6,36647.1,37494.3,38647.7,39585.5,40007.7,40616.4,40994.6,41376.2,41752.6,42470.4,43168.7,44057,44606,45322.8,46198.1,46760.1,47398,48302.7,48758.5,50222,50368.9,50842.1,51555.3,51856.3,52688.5,53931.8,54834.7,55381.9,55949.5,56627.6,57316.2,57480.8,58207,58992.4,59755,60570.5,61581.1,62177.2,63902.9,64439.1,64197.4,64481.9,64799.6,65476.7,65972.1,66833.3,68315.9,69062.7,70178.9,71411.5,72539,73703.6,74790.7,76586,76728.6,77990.7,78728.2,80555.2,82011,83420.2,83984.8,84873.8,86569.5,88483.5,89236,92393.2,91116.1,95245.5,92859.5,92237.7,91791.4,91092.4,90559.4,91240,91976.1,94257.5,95914.2,96156.4,99525.5,99724.8,101212,102494.7,106004.7,107754.5,106758.9,110991,107782.3,108226.1,108785.2,108677.5,111803.6,114221.9,115468.9,117478.9,458973.3
California,656234.6,662124.9,668091.9,677519,688378.5,700270.7,707686.8,713460.3,714331.5,718118.3,719540.8,726933.3,730583.1,740019.9,744716.3,754397.2,767973.6,775727.3,786343.4,792527.1,810929,825512.1,834572.3,847652.9,860316.2,873365.2,889388.4,907639.4,938107.3,949737.3,967108.9,983820.6,1004995.5,1018191.4,1035402.1,1064949.6,1101562.4,1121080.4,1158115.6,1161415.1,1182400.2,1177693.8,1170156.3,1165264.2,1174659.1,1184953.1,1193836.4,1207446.4,1215893,1233661.7,1254855,1269452.3,1288175.1,1309628.8,1324715.1,1352458.2,1357135.3,1381421.7,1407566.7,1433295.8,1482238.1,1492347.9,1510549.2,1529882.5,1553525,1571734.9,1574648.7,1590976.9,1591475,1609955.8,1602266.6,1575272.5,1542063,1541037.8,1533140.3,1547249.3,1582060.4,1607697.2,1613533.6,1652871.8,1700226.8,1706267.6,1725332.9,1729080.6,1786135.4,1808358.6,1808445.3,1905728.1,1817215.5,1848098.9,1867393.2,1896095.8,1923713.3,1960824.8,2003994.1,2034415.2,7922947.4
Colorado,67841.9,69005.2,70059.7,71500.8,73343.1,75194.5,76548.4,77310.4,80014.3,81086.6,82131.9,84015.5,85047.5,87411.4,88568.9,90907.5,93223.2,94629.7,96673.2,98069.1,100261,102470.9,104236.9,105974.3,107650.4,109782,112479,114919.9,119025,121498.7,125665.2,126171.3,128694.8,130893.9,132150,137436.9,141121.1,145879.1,150108.2,151861.2,155300.5,155294.1,153855.6,153327.9,153075.6,154402.8,154736.3,156343.8,155143.1,156687.2,160077.4,159499.9,160084.9,162888.5,164105.1,168413.2,170539.1,173689.7,176949.8,179098.1,186395.1,188060.6,191064.8,192341.5,196742.9,201339.9,203108.2,207272.8,205740.8,212560.5,212203.9,209612.4,203426.1,198957.3,197102.2,197920.6,200491,203437.7,207282.3,212253.5,219877,222351.3,225470.3,226272,232093.1,234958.8,234350.9,245633.6,243637.9,247909.1,251338.8,255164.9,263910.9,269442.8,273541.6,278745.3,1085640.6
Connecticut,86697.3,87840.2,87964.3,88761.3,92153.6,93959.1,94701.7,96263,95212,97023.1,98010.8,99144.4,98816.2,99208.7,100339.7,102068.7,103777.3,105107.3,106438.5,107247,108289,110300.5,111480.7,112915.1,115296.6,117018.3,118513.2,121139.2,124624.5,126213,128272.8,130097.8,131345.7,133096.1,135695.2,137618.9,143431.1,145558.9,148500,150295.7,154849,156110.4,154497,154555.6,153157.1,154900.8,154919.6,155408,153205.9,155606.6,157983.6,160342.1,160032.2,163412.7,167184,169968.6,170281.1,173109,175038.8,179291.2,185903.8,188099.1,189094.5,192393.1,200840.4,203065.3,204334.1,205629.2,216194.5,218742.7,216218.2,213542.5,211263.6,212517.9,212086.8,214462.3,216975.9,221647.4,223074.7,222535.8,224075.7,227847,228669.6,227036.1,228651.8,231156.5,228599.1,236277,224780.3,225597,226493,227833.1,231637.3,235224.4,238584.5,241580.1,947026.3
Delaware,14905.2,15060.8,15290.6,15528.5,15571,15836.6,15976.3,16033.5,16130.2,16437.2,16528.9,16770.8,16747.2,17092.7,17229.8,17591.6,17776.1,18031.8,18274.5,18605.4,18859.2,19304.5,19603.2,19968.5,19932.2,20024.6,20542.5,20869.7,22006.9,22418.7,22638.1,22925.8,23842.6,23876.2,24174.3,24768,26065.8,26696.8,26902,26916.4,28829.5,29246.7,29600.8,29839.8,30133.8,30277.3,30499.4,30525.4,30382.7,30884.4,31499.9,31780.8,31373.5,32188.2,32451.4,33504.8,32558.6,32852.9,33061.7,34622.6,34799.6,35438.8,35497.5,35365.5,36052.1,36557.5,36327.4,36584.6,35600.8,37134.9,36434.4,35410.6,36453.8,36445.8,36387.9,36444.2,35775.8,36458.9,37320.5,37796,39467,39772.9,40182.8,40277.3,39794.7,40299.7,40098.2,41380.6,40525.3,41058.3,41205.8,41611.9,42202.7,42781.1,43327.8,43814.9,172126.5
District of Columbia,16226.8,16451.8,16598,16870.5,17085.6,17335.2,17501.7,17554.8,18023.2,18040.9,18085,18117.8,18225.3,18479.7,18562.1,18671.3,18582,18655.3,18600.2,18646.7,19097.8,19175.4,19476.7,19799.5,19965.5,20125.2,20421,20650.2,21061.5,21411.5,21812.7,21904.1,22188.5,22421.1,22869.1,23294.9,24416.1,24637.9,24969.2,25567.6,25551.4,25799,25816.7,25946,25420.9,25813.1,25989.7,26280.9,25656,25974,26309.4,26690.9,27713,28147.6,28550.1,29339.9,29297.6,29849.4,30250.2,30716.5,31198.6,31697.7,32073.5,32417.6,33521.6,34074,34714.6,35142.4,34754.6,35700.8,35551.1,35309.4,35537.7,35560.6,35531.7,35843.9,37352,38084,38605.2,39256.4,40830.7,41176.9,41689,41883.4,42550.9,42954.6,42599.8,43937,43233.1,43619,43728.4,44208.8,45812.6,46483.2,47193.7,47631.5,187121
Florida,264162.5,267084.8,268993.7,273259.9,277069.4,282049.9,286252.1,291692.5,296942.1,300444.4,302502,305681.9,309541.8,315832.5,319609.9,325715.6,334026,338902,344040.9,349365,355845.2,362163.6,366507.2,371111.3,377253.8,381703.1,388208.3,394442.7,406263.2,414260.8,420234.4,424552.9,428483.7,432930.3,439254.6,444774.3,461218.7,467863.4,476747.5,485577.6,494529.6,498505.2,498446,498674,505517.3,511563.4,516094.9,523637.1,527581.7,533034.8,543945.1,557332.7,567892.9,581699.8,593175,610262,621623.8,635669.2,650117.1,661754.8,684370.4,695196.3,700669,709162.9,715938.3,727432.6,731708,733963.8,728694,747313.6,729488.7,714480.1,689651.5,686967.5,680791,689613.1,712930.8,728077.9,739418.4,749402.9,761433.5,769584.8,774402.4,780217.1,788129.1,794829,794151.4,825097.5,792654.6,798704.7,805807.8,814735.8,834947.8,854350.9,869565.2,886785.5,3445649.4
